County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k,log1p_rate_per_100k
Fresno,2006-08,0.0,48.903225806451616,4.540860215053763,3378.9500000000003,0.0,75.20591397849462,56.0,37.0,0.0,112982.8908,156775.7542,10.182585064184227,2.4143576631981674
Fresno,2006-09,0.0016666666666666,46.97222222222222,4.318333333333334,3109.0,0.0,71.27,62.0,58.0,0.0,80525.2145,18115.5357,6.675250208742995,2.038000893429563
Fresno,2006-10,0.37,57.64516129032258,3.672043010752688,2732.816666666667,0.1666666666666666,63.88494623655914,62.0,35.0,163.87,21487.1846,15512.5572,5.430712034231588,1.8610852683911283
Fresno,2006-11,0.3783333333333333,72.92777777777778,3.8738888888888887,2785.4,0.1666666666666666,58.40111111111111,88.0,44.5,42.8,6044.5023,9845.2947,6.109551038510537,1.9614390967455413
Fresno,2006-12,0.7683333333333334,72.54928315412187,4.1264874551971324,3047.0333333333333,1.1666666666666667,49.83312940304041,100.5,50.5,50.55,11001.3873,71.9232,4.978152698045623,1.7881116068686795
Fresno,2007-01,0.4133333333333333,64.95957785742732,3.8134408602150542,2836.55,1.1666666666666667,44.721543778801845,141.0,49.0,52.8,41852.1624,5059.9727,7.47823777001182,2.137502618068177
Fresno,2007-02,1.1783333333333337,73.70833333333333,4.470238095238096,3001.616666666667,0.3333333333333333,51.1702380952381,75.0,21.5,34.2,70876.6081,8013.2314,4.911081520604777,1.776828813086124
Fresno,2007-03,0.4066666666666667,58.48387096774194,4.6645161290322585,3470.4,0.6666666666666666,57.27204301075269,67.0,17.0,714.55,216184.1863,25114.7926,7.255006791802511,2.1108199001219057
Fresno,2007-04,0.525,51.73333333333333,5.924444444444444,4264.283333333334,2.0,61.59666666666666,65.5,29.5,288.15000000000003,59611.468,30353.5007,3.6833111404535823,1.5440053684072323
Fresno,2007-05,0.0633333333333333,40.55913978494624,6.381182795698924,4748.25,1.3333333333333333,68.11666666666666,67.0,33.0,2063.87,89660.7472,98490.3824,3.013618205825659,1.3896931302115179
Fresno,2007-06,0.0,39.62777777777778,6.141111111111112,4422.7,1.0,72.58277777777778,66.0,26.0,2815.0,226652.028,170614.268,2.7903872276163506,1.332468184750273
Fresno,2007-07,0.0,46.564516129032256,5.333870967741935,3967.2833333333338,0.1666666666666666,76.68817204301075,65.0,24.0,445.85,146909.9698,145445.5231,2.4555407603023887,1.2399789602552853
Fresno,2007-08,0.0283333333333333,45.618100358422936,4.770430107526882,3550.133333333333,0.0,76.86451612903225,69.0,37.0,700.4399999999999,69305.0622,74453.435,3.236849184034967,1.4438198760226986
Fresno,2007-09,0.075,52.82222222222222,4.866666666666666,3503.7666666666664,0.0,72.59444444444445,67.5,42.5,115.87,16065.5968,27142.5448,2.3439252711977345,1.2071453478428902
Fresno,2007-10,0.4916666666666666,57.970071684587815,4.262903225806451,3171.1666666666665,0.5,63.79216845878136,70.0,34.5,147.31,8982.2624,5460.7302,1.7858478256744643,1.024552252787029
Fresno,2007-11,0.1316666666666666,65.2,3.64,2622.5,0.0,58.048333333333325,122.5,58.5,157.60000000000002,21854.4987,991.173,3.013618205825659,1.3896931302115179
Fresno,2007-12,1.1616666666666668,74.75806451612902,4.209139784946236,3130.7833333333333,0.5,48.76505376344087,98.0,19.0,7.3,20857.3808,2143.1332,2.678771738511697,1.3025789297595567
Fresno,2008-01,2.89,80.48924731182795,4.866129032258065,3622.5333333333338,1.6666666666666667,48.523655913978494,64.0,27.0,5.85,121920.6498,2622.3757,0.9894132779261896,0.6878397600509846
Fresno,2008-02,1.0450000000000002,73.47126436781609,4.7362068965517246,3296.65,1.5,50.35977011494253,78.0,39.0,15.64,86988.4343,9112.3342,0.8794784692677242,0.6309943283926197
Fresno,2008-03,0.0683333333333333,56.80107526881721,5.785483870967742,4303.183333333333,2.333333333333333,55.560752688172045,56.0,21.0,784.9599999999999,125636.5355,17661.2347,2.96823983377857,1.3783226295765698
Fresno,2008-04,0.0916666666666666,46.18333333333334,6.232777777777778,4487.516666666666,2.6666666666666665,60.13222222222223,60.5,31.0,50.46,89395.234,24886.8289,1.8688917471939144,1.0539258043925952
Fresno,2008-05,0.1583333333333333,45.36021505376345,6.255913978494623,4654.066666666667,2.6666666666666665,67.53387096774193,67.0,35.5,666.24,81742.9332,146104.1918,1.5390873212185174,0.931804694103785
Fresno,2008-06,0.0,36.394444444444446,6.172777777777778,4445.016666666666,2.5,72.5788888888889,69.0,34.5,5159.47,437454.0212,106468.9145,1.5390873212185174,0.931804694103785
Fresno,2008-07,0.005,45.64516129032258,5.243010752688172,3900.1333333333337,0.0,77.81612903225806,83.0,31.0,2256.21,56196.8859,224707.2089,3.6278486857293615,1.5320921134056886
Fresno,2008-08,0.0,43.172043010752695,4.733870967741936,3520.883333333333,0.0,78.10537634408603,63.0,43.0,3689.51,18776.4981,81130.4964,2.7483702164616384,1.3213211365689168
Fresno,2008-09,0.0,46.1,4.07,2928.116666666667,0.0,72.83944444444445,76.0,53.5,89.99,18624.0566,24935.7495,3.298044259753966,1.4581600959229897
Fresno,2008-10,0.065,47.66666666666666,4.2924731182795695,3192.616666666667,1.5,64.2231182795699,70.0,53.0,157.39,46175.9473,8246.8708,6.15634928487407,1.9679999745271375
Fresno,2008-11,0.9016666666666668,71.11999999999999,3.380555555555556,2431.0,0.1666666666666666,58.57833333333334,95.5,38.5,10.77,27955.5604,2620.448,3.407979068412431,1.4834163232940647
Fresno,2008-12,0.8850000000000001,85.63978494623656,3.682258064516129,2739.85,0.3333333333333333,50.590860215053766,94.0,18.5,0.12,6869.018,2023.4201,6.486153710849466,2.0130551423798337
