Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
2001-01,3.9025,63.72822580645161,2.891935483870967,2151.675,0.0,52.22338709677419,96.0,23.0,,678.7113,223.625,0.1142734380535119
2001-02,7.41,71.66071428571428,3.289285714285714,2213.05,0.0,53.43660714285714,66.0,17.5,,341.0448,230.625,0.0519424718425054
2001-03,1.1225,77.29005376344085,3.314516129032258,2465.575,0.0,59.69032258064516,85.0,22.0,,550.2039,456.4113,0.0207769887370021
2001-04,1.3050000000000002,70.875,3.720833333333333,2677.725,0.0,61.8975,61.0,20.0,,462.0653,561.5,0.0519424718425054
2001-05,0.045,77.46774193548387,3.586290322580645,2668.2,0.0,68.90322580645162,85.0,31.0,,769.1122,917.75,0.0623309662110065
2001-06,0.025,72.75507246376812,3.44,2478.725,0.0,72.84,74.0,29.5,,717.5481,627.6978,0.0519424718425054
2001-07,0.015,76.0241935483871,3.485483870967742,2593.65,0.0,74.50322580645161,72.0,24.0,,993.7726,398.0,0.1038849436850108
2001-08,0.0825,75.20161290322581,3.239516129032258,2415.225,0.0,74.37016129032259,74.0,29.0,,610.1104,395.1816,0.0623309662110065
2001-09,0.3,74.75862068965517,3.0658333333333334,2132.35,0.0,72.03833333333333,73.0,32.0,,680.3117,417.5333,0.0831079549480087
2001-10,0.11,80.16129032258064,2.7338709677419355,2035.0,0.0,68.2375960061444,94.0,40.0,,3063.8864,336.4842,0.0831079549480087
2001-11,1.135,74.61666666666667,2.703333333333333,1945.975,0.0,61.76166666666666,99.0,19.0,,755.691,259.5,0.0623309662110065
2001-12,1.0375,63.89516129032258,2.7419354838709675,2040.575,0.0,53.26021505376344,87.0,15.0,,328.6503,31.5242,0.0727194605795076
2002-01,0.98,58.95161290322581,2.9411290322580643,2188.075,0.0,53.71397849462366,82.0,20.0,,238.332,40.75,0.0927269799348088
2002-02,0.3,55.25165343915344,3.1982142857142857,2151.3,0.0,54.74761904761905,83.5,20.0,,304.3226,327.3986,0.0824239821642745
2002-03,0.4275,62.954236188357434,3.766370967741936,2780.45,0.25,58.50211021505376,60.0,18.0,,323.4122,112.5,0.1030299777053431
2002-04,0.0825,75.54166666666666,3.7333333333333334,2685.775,0.0,63.22,63.5,20.0,,422.389,180.045,0.0515149888526715
2002-05,0.2025,73.90322580645162,3.832258064516129,2851.6499999999996,0.0,66.8016129032258,70.0,29.0,,1223.2394,1281.817,0.0824239821642745
2002-06,0.02,76.625,3.8116666666666665,2743.775,0.0,72.26583333333332,70.0,31.0,,481.6346,1414.706,0.0927269799348088
