Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
2001-01,3.39,58.0,3.8483870967741938,2862.0,0.0,50.63225806451613,80.0,38.5,,3791.4166,252.0,0.0693131105402021
2001-02,5.48,67.92592592592592,4.078571428571428,2746.0,0.0,52.44285714285714,58.0,17.0,,2907.4453,255.0,0.0693131105402021
2001-03,0.3,74.4,3.364516129032258,2503.4,0.0,59.05806451612903,66.0,32.5,,4828.7194,320.0,0.1039696658103031
2001-04,1.01,69.03448275862068,3.806666666666666,2741.4,0.0,61.373333333333335,54.5,35.0,,3858.4246,223.6875,0.0693131105402021
2001-05,0.21,74.73333333333333,3.383870967741936,2516.1,0.0,67.30322580645162,66.0,37.0,,2976.112,389.0,0.0
2001-06,0.02,69.89655172413794,3.646666666666667,2626.9,0.0,70.77333333333333,61.0,24.0,,1256.5318,183.0,0.034656555270101
2001-07,0.0,71.46666666666667,3.6774193548387095,2734.4,0.0,72.66129032258064,55.0,24.0,,1302.7605,304.75,0.1386262210804042
2001-08,0.0,71.54838709677419,3.4645161290322584,2580.0,0.0,72.25806451612904,61.5,21.5,,1559.4251,444.75,0.1039696658103031
2001-09,0.0,71.37931034482759,3.29,2285.4,0.0,70.92333333333333,64.0,28.0,,898.8356,297.75,0.0693131105402021
2001-10,0.0,74.19354838709677,2.9935483870967743,2227.8,0.0,68.18064516129031,78.0,37.0,,2904.4086,308.625,0.0693131105402021
2001-11,1.02,72.8,3.1533333333333333,2273.0,0.0,62.31666666666667,90.5,43.0,,3138.7743,243.449,0.1039696658103031
2001-12,1.42,64.45161290322581,3.3774193548387097,2510.5,0.0,53.690322580645166,78.0,18.0,,4193.5502,210.0,0.1039696658103031
2002-01,0.43,58.45161290322581,3.4645161290322584,2581.1,0.0,53.329032258064515,80.0,39.0,,2319.5895,219.0,0.0343849985128488
2002-02,0.22,53.857142857142854,3.7964285714285713,2553.9,1.0,53.396428571428565,77.0,44.0,,2895.2864,120.125,0.1031549955385464
2002-03,0.55,60.54838709677419,3.861290322580645,2874.1,0.0,56.91612903225807,55.0,26.0,,3331.757,381.125,0.0687699970256976
2002-04,0.43,71.0,3.9866666666666664,2872.7,0.0,62.11666666666667,55.5,25.0,,2517.5536,693.2575,0.1375399940513952
2002-05,0.06,69.06451612903226,4.054838709677419,3015.3,0.0,65.08064516129032,59.0,27.0,,1681.0236,324.125,0.0
2002-06,0.0,71.73333333333333,4.033333333333333,2905.5,0.0,70.43,60.0,30.0,,1087.3419,296.0,0.1031549955385464
