Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
2001-01,1.5825,68.96353686635945,3.793548387096774,2825.95,0.0,52.56693548387097,89.0,52.0,,2947.0863,924.552,0.0348471881106969
2001-02,3.0475,73.11874236874237,4.28125,2875.35,0.0,53.77767857142857,59.0,38.5,,2528.4212,793.2139,0.1393887524427879
2001-03,1.0575,84.28763440860214,3.729032258064516,2774.425,0.0,59.38467741935484,71.0,47.5,,2892.1394,1465.6756,0.1742359405534848
2001-04,0.88,77.9378078817734,4.361666666666666,3143.525,0.0,62.5025,57.5,33.0,,3373.9809,1823.8916,0.1742359405534848
2001-05,0.105,84.36346153846154,3.9088709677419353,2904.675,0.0,69.17177419354839,69.0,35.5,,2559.0029,1574.5125,0.3136246929962727
2001-06,0.03,78.89166666666667,4.060833333333333,2923.125,0.0,73.09166666666667,64.0,34.5,,3658.121,2209.6625,0.0696943762213939
2001-07,0.0375,79.69166666666666,4.02258064516129,2992.65,0.0,75.31774193548387,55.0,28.0,,3534.4229,3086.3293,0.1045415643320909
2001-08,0.0075,79.96774193548387,3.420967741935484,2546.3999999999996,0.0,76.12096774193549,64.0,45.0,,4157.5267,1687.0,0.0696943762213939
2001-09,0.015,78.880059970015,3.4583333333333335,2395.425,0.0,73.64387931034483,66.0,37.0,,2061.0134,1839.925,0.0696943762213939
2001-10,0.09,79.16129032258064,3.3475806451612904,2488.8,0.0,69.85967741935484,75.0,45.5,,4110.4689,2005.6405,0.1393887524427879
2001-11,0.7575000000000001,78.88125,3.5533333333333337,2253.0,0.0,64.00979166666667,80.0,54.0,,3201.8622,2196.7253,0.3484718811069697
2001-12,0.57,73.41290322580645,3.713548387096774,2201.02,0.2,55.358870967741936,81.0,35.0,,1967.2341,1897.115,0.3484718811069697
2002-01,0.492,70.5373271889401,3.5899539170506913,2105.68,0.0,56.94064516129032,79.0,52.0,,2927.4163,1034.9882,0.2758283037766066
2002-02,0.23,60.46428571428571,4.164285714285715,2799.975,0.75,54.791964285714286,73.5,60.0,,2867.6022,1365.4148,0.1379141518883033
2002-03,1.0,69.87096774193549,4.501612903225807,3349.975,0.0,58.33870967741935,56.0,30.0,,3505.759,2025.2479,0.1723926898603791
2002-04,0.36,77.84666666666666,4.581666666666666,2820.76,0.0,64.01862068965518,59.0,35.0,,2099.6895,1453.99,0.3447853797207583
2002-05,0.152,77.54193548387097,4.500645161290324,3349.6400000000003,0.0,67.21867572156198,57.0,31.0,,1729.657,2548.37,0.1034356139162275
2002-06,0.088,80.80666666666666,4.456,3003.38,0.0,72.07583333333334,60.0,44.0,,1766.397,3078.0232,0.1723926898603791
2002-07,0.016,78.03033154121864,4.0357930107526885,2324.54,0.0,74.85936917562724,59.0,40.5,,2285.733,1123.61,0.1379141518883033
2002-08,0.02,78.50322580645161,4.005161290322581,2980.08,0.0,74.72387096774193,67.0,50.5,,2259.0891,2353.5915,0.1379141518883033
2002-09,0.166,75.74,3.1786666666666665,2287.38,0.0,73.614,62.0,59.0,,2282.5117,3031.7044,0.1034356139162275
2002-10,0.1399999999999999,75.5225806451613,3.04,2260.9,0.0,67.36258064516129,60.0,32.0,,4613.9221,1691.5396,0.1379141518883033
2002-11,1.298,60.354942528735634,3.624,2609.84,0.0,62.152,71.0,49.0,,1658.9871,1672.7046,0.1034356139162275
2002-12,1.454,73.16129032258064,3.4329032258064514,2554.16,0.0,56.98064516129032,83.0,52.0,,3403.952,1655.6175,0.206871227832455
2003-01,0.1,62.69677419354839,3.376129032258065,2514.12,0.4,56.90387096774193,76.0,59.0,,2628.4426,1093.415,0.0686176494200779
2003-02,4.002000000000001,69.97142857142858,3.7192857142857143,2500.0,0.0,58.30714285714286,56.0,35.0,,2620.431,448.925,0.0686176494200779
2003-03,1.672,72.49032258064516,3.639354838709677,2704.7200000000003,0.2,60.725806451612904,57.0,27.0,,3624.4105,708.0325,0.0343088247100389
2003-04,1.646,72.92,4.075333333333333,2933.7,0.0,63.086666666666666,46.0,24.0,,3021.873,2483.8463,0.1029264741301169
2003-05,3.744,79.03225806451613,3.652258064516129,2716.62,0.0,67.11419354838709,58.0,29.5,,2838.6674,2144.345,0.0686176494200779
2003-06,0.544,81.77977011494252,3.761172413793103,2691.6400000000003,0.0,69.96868965517243,58.5,26.0,,3604.4477,7559.6075,0.1029264741301169
2003-07,0.114,79.78064516129032,3.892903225806452,2899.74,0.0,74.80657568238215,63.0,51.0,,2876.1747,2384.4974,0.1715441235501948
2003-08,0.122,76.43225806451613,3.967096774193549,2948.94,0.0,76.06193548387097,56.0,46.0,,3537.0852,2375.4938,0.3087794223903507
